logged_at,event_type,shop_id,shop_name,actor_user_id,actor_name,invoice_id,invoice_number,source,product_id,product_name_snapshot,barcode,quantity,unit_price,line_total,invoice_total,payment_mode,payment_details
2026-07-14T17:26:24+05:30,invoice.finalized,1,Shop One,3,Cashier One,1,1,checkout,1,X 750ml,8908000000001,1,100.00,100.00,100.00,cash,"[{""amount"": ""100.00"", ""mode"": ""cash""}]"
2026-07-14T17:26:29+05:30,invoice.finalized,1,Shop One,3,Cashier One,1,1,checkout,1,X 750ml,8908000000002,1,100.00,100.00,100.00,cash,"[{""amount"": ""100.00"", ""mode"": ""cash""}]"
2026-07-14T17:26:33+05:30,invoice.finalized,1,Shop One,3,Cashier One,1,1,checkout,1,X 750ml,8908000000003,1,100.00,100.00,100.00,cash,"[{""amount"": ""100.00"", ""mode"": ""cash""}]"
2026-07-14T17:26:38+05:30,invoice.finalized,1,Shop One,3,Cashier One,1,1,checkout,1,X 750ml,8908000000004,1,100.00,100.00,100.00,cash,"[{""amount"": ""100.00"", ""mode"": ""cash""}]"
2026-07-14T17:28:32+05:30,invoice.finalized,1,Shop One,3,Cashier One,1,1,checkout,1,X 750ml,8908000000001,1,100.00,100.00,100.00,cash,"[{""amount"": ""100.00"", ""mode"": ""cash""}]"
2026-07-14T17:28:37+05:30,invoice.finalized,1,Shop One,3,Cashier One,1,1,checkout,1,X 750ml,8908000000002,1,100.00,100.00,100.00,cash,"[{""amount"": ""100.00"", ""mode"": ""cash""}]"
2026-07-14T17:28:41+05:30,invoice.finalized,1,Shop One,3,Cashier One,1,1,checkout,1,X 750ml,8908000000003,1,100.00,100.00,100.00,cash,"[{""amount"": ""100.00"", ""mode"": ""cash""}]"
2026-07-14T17:28:45+05:30,invoice.finalized,1,Shop One,3,Cashier One,1,1,checkout,1,X 750ml,8908000000004,1,100.00,100.00,100.00,cash,"[{""amount"": ""100.00"", ""mode"": ""cash""}]"
2026-07-14T17:28:50+05:30,invoice.finalized,1,Test Liquor Corner,3,Cashier One,1,1,checkout,1,X 750ml,8908000000005,1,100.00,100.00,100.00,cash,"[{""amount"": ""100.00"", ""mode"": ""cash""}]"
2026-07-14T17:33:14+05:30,invoice.finalized,1,Shop One,3,Cashier One,1,1,checkout,1,X 750ml,8908000000001,1,100.00,100.00,100.00,cash,"[{""amount"": ""100.00"", ""mode"": ""cash""}]"
