[2026-07-14T20:38:17+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-14T20:38:22+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T20:38:35+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T20:38:43+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 2; revenue Rs. 200.00; payment split: cash Rs. 100.00, upi Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-14T20:39:09+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-14T20:39:16+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T20:39:30+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T20:39:37+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 2; revenue Rs. 200.00; payment split: cash Rs. 100.00, upi Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-14T20:39:51+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 1; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-14T20:40:13+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T20:40:13+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
