logged_at,event_type,shop_id,shop_name,actor_user_id,actor_name,lot_id,vendor_id,vendor_name,vendor_gstin,purchase_date,vendor_invoice_number,invoice_value,reference,notes,product_id,product_name_snapshot,barcode,quantity,good_condition_quantity,breakage_quantity,current_price,row_total
2026-07-16T13:28:55+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000001,5,5,0,100.00,500.00
2026-07-16T13:29:01+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000002,5,5,0,100.00,500.00
2026-07-16T13:29:16+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000003,5,5,0,100.00,500.00
2026-07-16T13:29:22+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000004,5,5,0,100.00,500.00
2026-07-16T13:29:29+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000005,5,5,0,100.00,500.00
2026-07-16T13:29:36+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000006,5,5,0,100.00,500.00
2026-07-16T13:29:43+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000014,5,5,0,100.00,500.00
2026-07-16T13:29:50+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000015,5,5,0,100.00,500.00
2026-07-16T13:29:57+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000101,10,10,0,100.00,1000.00
2026-07-16T13:30:04+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000102,10,10,0,100.00,1000.00
2026-07-16T13:30:11+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000103,10,10,0,100.00,1000.00
2026-07-16T13:30:18+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000104,10,10,0,100.00,1000.00
2026-07-16T13:30:26+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000105,10,10,0,100.00,1000.00
2026-07-16T13:30:38+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000007,5,5,0,100.00,500.00
2026-07-16T13:30:46+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000008,5,5,0,100.00,500.00
2026-07-16T13:30:53+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000016,5,5,0,100.00,500.00
2026-07-16T13:31:27+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-16,TEST-INVOICE,0.00,,,1,X 750ml,8903000000007,5,5,0,100.00,500.00
